name,datetime,ob_temp,ob_battery,channel,sensor_model,sensor_type,offset,value,units
sensor_1,01/01/2020 00:00,7.5,0,0,FM3 Battery Voltage,ob_voltage,0,3.607,V
sensor_1,01/01/2020 00:00,7.5,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,1.394,deg
sensor_1,01/01/2020 00:00,7.5,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,88.2299,deg
sensor_1,01/01/2020 00:00,7.5,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,-1.0905,deg
sensor_1,01/01/2020 00:29,7.1,0,1,FM3 Onboard Temperature,ob_temp,0,7.1,c
sensor_1,01/01/2020 00:30,7.1,0,0,FM3 Battery Voltage,ob_voltage,0,3.607,V
sensor_1,01/01/2020 00:30,7.1,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,1.3939,deg
sensor_1,01/01/2020 00:30,7.1,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,88.23,deg
sensor_1,01/01/2020 00:30,7.1,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,-1.0906,deg
sensor_1,01/01/2020 00:59,6.89,0,1,FM3 Onboard Temperature,ob_temp,0,6.89,c
sensor_1,01/01/2020 01:00,6.89,0,0,FM3 Battery Voltage,ob_voltage,0,3.607,V
sensor_1,01/01/2020 01:00,6.89,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,1.394,deg
sensor_1,01/01/2020 01:00,6.89,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,88.2302,deg
sensor_1,01/01/2020 01:00,6.89,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,-1.09,deg
sensor_1,01/01/2020 01:29,6.89,0,1,FM3 Onboard Temperature,ob_temp,0,6.89,c
sensor_1,01/01/2020 01:30,6.89,0,0,FM3 Battery Voltage,ob_voltage,0,3.607,V
sensor_1,01/01/2020 01:30,6.89,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,1.3942,deg
sensor_1,01/01/2020 01:30,6.89,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,88.2299,deg
sensor_1,01/01/2020 01:30,6.89,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,-1.0902,deg
sensor_1,01/01/2020 01:59,6.89,0,1,FM3 Onboard Temperature,ob_temp,0,6.89,c
sensor_1,01/01/2020 02:00,6.89,0,0,FM3 Battery Voltage,ob_voltage,0,3.607,V
sensor_1,01/01/2020 02:00,6.89,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,1.3944,deg
sensor_1,01/01/2020 02:00,6.89,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,88.2305,deg
sensor_1,01/01/2020 02:00,6.89,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,-1.0891,deg
sensor_1,01/01/2020 02:29,6.89,0,1,FM3 Onboard Temperature,ob_temp,0,6.89,c
sensor_1,01/01/2020 02:30,6.89,0,0,FM3 Battery Voltage,ob_voltage,0,3.607,V
sensor_1,01/01/2020 02:30,6.89,0,16,Tri-Axial Inclinometer - X Axis,tilt_x,0,1.3944,deg
sensor_1,01/01/2020 02:30,6.89,0,17,Tri-Axial Inclinometer - Y Axis,tilt_y,0,88.2305,deg
sensor_1,01/01/2020 02:30,6.89,0,18,Tri-Axial Inclinometer - Z Axis,tilt_z,0,-1.089,deg
sensor_1,01/01/2020 02:59,6.69,0,1,FM3 Onboard Temperature,ob_temp,0,6.69,c
